market;funding_total_usd;status;country_code;city;funding_rounds;founded_year;seed;venture;equity_crowdfunding;undisclosed;convertible_note;debt_financing;angel;grant;private_equity;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H
470;1750000;1;112;2560;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
549;40000;0;37;3657;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;1500000;0;40;2099;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
688;60000;0;112;1245;2;2014;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;2000000;0;1;1;1;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
200;40000;0;21;1974;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;1750000;0;112;1707;1;1984;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
206;4400000;0;40;2099;2;2013;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
200;2050000;0;112;4100;4;2001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
589;40000;0;112;1950;1;2008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
414;500000;1;1;1;1;2009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;2535000;1;112;3265;2;2010;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
154;4962651;0;112;289;6;2008;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
576;4059079;0;39;2797;4;2010;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
419;10000000;0;22;275;3;2009;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
309;420000;0;112;2175;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1250000;1;112;3265;2;2011;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;35000000;0;112;2560;1;2000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;50000;0;112;759;1;2009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434;1600000;0;1;1;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
448;100000;0;6;3636;1;2009;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
59;3000000;0;112;2676;1;2012;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
642;77500;0;112;2036;1;2010;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
641;20000000;0;22;3390;1;2011;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
431;270000;0;6;2295;2;2012;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
516;794000;0;112;2968;6;2011;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
8;650267;0;1;1;2;2012;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;378812;0;40;564;1;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;130636;0;39;2797;1;2008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;619494;0;81;1386;1;2010;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
410;66450000;0;112;272;8;2007;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0
