"name","founded_on","num_funding_rounds","last_equity_funding_type","last_funding_at","headquartersCountry","employeeCount","Advertising","Agriculture.and.Farming","Clothing.and.Apparel","Commerce.and.Shopping","Community.and.Lifestyle","Computer.Hardware","Consumer.Electronics","Consumer.Goods","Content.and.Publishing","Data.and.Analytics","Design","Education","Energy","Environment.and.Sustainability","Events","Financial.Services","Food.and.Beverage","Gaming","Government.and.Military","Health.Care","HumanResources","Legal","Life.Sciences","Logistics","Manufacturing","Media.and.Entertainment","Messaging.and.Telecommunications","Music.and.Audio","Natural.Resources","Navigation.and.Mapping","Payments","Privacy.and.Security","Professional.Services","Real.Estate.and.Construction","Sales.and.Marketing","Software_x","Sports","Transportation","Travel.and.Tourism","Video","AR.and.VR","Artificial.Intelligence","Biotechnology","BlockChain","Hardware","Science.and.Engineering","Software_y","Sustainability","Round.1","Round.2","Round.3","Round.4","Round.5","short_description","success","days_since_founding"
"11 Honore",202,3,10,216,83,37,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3e+06,3500000,11372081,8e+06,1e+07,"Online retailer of fashion products",1,1046
"110 Industries",366,6,11,809,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150000,1e+06,150000,2e+07,1e+07,"110 Industries is a video game production company with a focus on AAA titles for gaming consoles and cloud gaming services.",0,1651
"14bis Supply Tracking",271,7,2,560,83,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120000,20000,120000,1e+05,1e+05,"We ensure interconnectivity of databases to track things.",0,1509
"1Receipt",157,5,7,907,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16252,14273,37039,38311,21399,"1receipt is a hassle-free platform for issuing, collecting and managing digital receipts.",0,2165
"280 CapMarkets",1,3,17,85,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6e+06,1359240,4e+06,7100000,3023011,"Cloud-based fixed income technology platform",1,1042
"333D",133,5,6,701,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,763050,415379,239810,71290,391060,"333D is a manufacturer of pens that write in 3D with polymers that harden under light.",1,1941
"360VUZ",202,7,11,945,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1350000,7093000,2325000,509214,2e+07,"360VUZ is an immersive virtual video mobile app that enables users to teleport from their smartphone in 360°",0,2118
"3D Click",1,6,9,425,28,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,236405,227003,81868,335,968927,"3D Click specialized in 3D data capture and point cloud post-processing in order to obtain professional 3D models.",0,1807
"3D Planeta",468,5,9,681,13,31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,153185,25000,98102,711465,1e+06,"The world’s most advanced 3D visualization of air, land and sea.",0,1288
"3DEO",1,6,17,655,83,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,225000,899999,1399999,14073476,3e+06,"3DEO makes production metal components with our proprietary metal 3D printers -- we supply low-cost parts directly to customers.",0,2118
"3DLOOK",71,7,10,681,83,76,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1e+05,305000,1e+06,1750000,1500000,"3DLOOK is a mobile body scanning solution that aims to change the way people shop.",0,2032
"3S Money",483,6,11,774,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,130000,585387,8e+05,688004,1972000,"3S Money  is a digital B2B merchant banking platform.",0,1368
"4Blind",546,13,9,930,70,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13000,25000,150000,21000,14000,"Technical aids for blind and deaf-blind people’s limitless abilities",0,1408
"4DReplay",157,6,17,383,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4500000,1999998,2499997,4e+06,8e+06,"4D video solutions",0,1458
"52 North Health",395,6,9,1032,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,136733,1355649,1246494,1248660,1427247,"52 North Health is developing a fully-integrated clinical, AI-driven medical device-based system called NeutroCheck for people with cancer.",0,1865
"55ip",1,1,10,15,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+07,14345000,2150000,1000010,1450000,"White-label robo advisors for advisors & wealth management",1,468
"6AM City",107,6,10,631,83,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7e+05,5e+05,525000,5e+05,2e+05,"Online platform offering regional newsletters",0,1908
"7 Chord",2,8,9,270,83,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2000,120000,113333,575000,7e+05,"Predictive pricing and trend forecasting solutions",0,1528
"86 Repairs",395,5,10,877,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1058901,1500000,275000,2e+06,5300000,"86 Repairs is a subscription service that manages the entire repair process for restaurant groups.",0,1667
"A-Alpha Bio",202,6,10,621,83,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225000,2844988,670472,8e+05,256000,"A-Alpha Bio is a provider of cell-based tools for quantitative and high-throughput measurements of protein interactions.",0,1711
"AavGo",249,5,9,142,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5e+05,5e+05,5e+05,2e+06,2e+06,"AAVGO is a guest engagement and operations management cloud based product.",0,795
"Aavia",202,5,9,829,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,720000,3219990,3219990,2500000,3732497,"Aavia is a female health and wellness company that improves female health and their wellness.",0,1970
"AAZZUR",340,4,9,470,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,521923,322000,120000,132686,1175126,"AAZZUR is an open banking platform that facilitates the exchange of data, messages and transactions.",0,1265
"ABAKA Holdings",1,8,10,814,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,656926,920000,2400000,8900000,6500000,"AI-based personal financial advisor and saving platform",0,2317
"Abalone Bio",202,4,9,715,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225000,1099998,8e+05,150000,125000,"Abalone Bio is an early stage biotech start-up that develops antibody drugs for the treatment of diseases.",0,1827
"Abfero Pharmaceuticals",1,4,9,492,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6e+05,680000,4e+06,1e+06,1e+06,"Abfero Pharmaceuticals is a clinical stage pharmaceutical company that specializes in healthcare and medical industry.",1,1904
"abillion",305,5,10,699,74,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+05,5e+05,2150000,4250000,1e+07,"We’re a global community making social impact & sustainability a habit for everyone.",0,1627
"ABLE Human Motion",538,9,9,502,28,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33973,81868,785023,109553,280474,"ABLE Human Motion is a medical device company developing and commercialize robotic exoskeletons.",0,884
"ABODOO",202,8,4,489,39,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,240836,124158,116981,232103,170197,"Abodoo is a 'Data Intelligence' software company with innovative & ground breaking  'Skills Data Mapping & Matching' technology.",0,1535
"Abound",202,5,11,668,83,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,530000,650000,3e+06,22900000,36700000,"Abound is a marketplace that helps entrepreneurs gain the insights and connections needed to place their products on retail shelves.",0,1767
"Abre.io",202,5,18,1012,83,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1615000,570000,5e+05,555000,749998,"Abre.io provides an Education software platform that delivers a wide set of functionality for admin, teachers, students and parents.",0,2203
"Abzu",405,4,9,509,23,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,177529,1341093,1921320,155780,63594,"Abzu’s pioneering AI, the QLattice, accelerates analysis and insights through transparent and explainable models.",0,1183
"AC BioScience",202,6,9,900,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,991266,1029280,904680,1396892,850000,"AC BioScience is a biotech company that develops personalized molecular therapies designed for cancer patients.",0,2062
"Accelerate Wind",202,5,7,903,83,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50000,225000,1016000,120000,250000,"Accelerate Wind provides wind energy generation for the commercial and industrial spaces.",0,2067
"Accept.inc",1,6,9,561,83,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,208000,170000,150000,2075000,7.8e+07,"Accept.inc is a mortgage company that allows buyers to make a cash offer on the next home using the company's cash.",1,1999
"Acclivity Health Solutions",303,6,17,890,83,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,325000,2405736,2800059,2800059,13099999,"Acclivity Health Solutions develops a platform for the aging population designed to offer palliative care options and service-delivery.",0,1870
"Accrete",269,6,17,841,83,176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6e+05,9e+06,5e+06,6749995,3749994,"Accrete AI enables organizations to solve novel classes of real world information complexity problems by scaling tacit knowledge.",0,1865
"Aceleron",134,5,10,729,32,29,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,194876,2570960,3407520,1228030,6830550,"Aceleron is an innovative UK-based advanced lithium battery developer aiming to accelerate the global shift to cleaner.",0,1974
"Acerta Analytics",223,5,11,970,13,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,120000,2e+06,1750000,2e+06,2e+06,"AI & cloud-driven product failure indicator solution for automakers",0,2120
"Achilles Therapeutics",71,5,12,874,32,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23500000,17215632,120977000,97500000,69813622,"Developer of T-cell therapies for cancer",1,2272
"Acko General Insurance",1,6,13,663,42,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3e+07,1.2e+07,6.5e+07,3.6e+07,6e+07,"Acko General Insurance is a digital insurance company with a license to underwrite and distribute bite-sized insurance products.",0,2126
"Aclarity",202,4,9,791,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65000,225000,1e+06,1e+06,3300000,"Aclarity is a VC-backed cleantech startup developing and selling water treatment systems to clean the world's water and wastewater.",0,1922
"Aclipse Therapeutics",202,5,10,800,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1175000,1050000,1175000,2e+05,25000,"Aclipse Therapeutics focuses on developing differentiated drugs to address diseases with unmet medical needs.",0,1935
"Acodis",1,5,10,1019,14,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,81868,2364904,2705203,3407520,6509364,"Turn any document into structured data in seconds. Intelligent Document Processing (IDP)",0,2579
"Acorn Cryotech",296,3,9,100,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28836,19119,3300000,2532214,30000,"Cryopreserving people's healthy young cells for use with future medical technologies.",0,573
"Acqustic",226,3,9,521,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94564,735612,168574,712438,513824,"Acqustic allows families, friends, couples to order live concerts from musicians.",0,1539
"AcreTrader",522,7,17,925,83,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1960000,1600000,5385000,1.2e+07,4e+07,"AcreTrader is an agricultural real estate investing platform that helps buyers to buy shares of farmland through an online platform.",0,1486
"Actipulse Neuroscience",202,6,9,714,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50000,40000,250000,5e+05,125000,"Medical company specialized in non invasive brain stimulation technologies for the treatment of neurological diseases.",0,1826
"Activ Surgical",202,6,11,777,83,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1500000,1.3e+07,1.1e+07,1.5e+07,4.5e+07,"Developer of a robotic surgical integrated system",0,1906
"ActiveNeedle",1,5,4,654,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71223,150326,85150,427074,39840,"Ultrasound-guided needle interventional procedures",0,2117
"Actuate",461,7,10,878,83,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,65000,2200000,10095003,8e+06,3e+06,"Actuate builds software that employs computer vision to automatically detect gun threats and intruders in security camera feeds",0,1548
"AcuraStem",1,3,1,543,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3700000,380000,3e+06,1e+06,1e+06,"AcuraStem harnesses human, patient-specific in vitro cell models and assays to develop cures and improve diagnoses in disorders of the CNS.",0,1971
"Acuspire",176,5,9,548,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,97066,7784,15277,111978,414198,"Acuspire is an AI-powered job search and recruiting platform. We connect employers with qualified jobseekers within seconds.",0,1672
"Adaptiiv",1,5,10,548,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124975,25000,3e+05,3e+06,328943,"Solution for developing 3D bolus for cancer patients",0,1978
"Adaptive Phage Therapeutics",1,8,11,932,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,765000,6994388,2350000,1e+05,7e+06,"Provider of therapies to treat multi drug resistant infections",0,2468
"addapptation",236,5,17,588,83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1e+05,50000,620000,50000,1300000,"Salesforce UX redesigning platform",0,1609
"Addi",395,11,12,705,18,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2300000,1500000,12500000,1.5e+07,3e+07,"Addi is a technology company that provides credit and banking solutions.",0,1450
"Additive Manufacturing Technologies",202,4,11,569,32,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,778727,322437,993073,5200000,6377567,"Manufacturer of post-processing tools for 3D printed objects",0,1643
"Address Japan",395,8,11,385,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,238360,106256,1285786,639026,645140,"Address is a service that can live at a fixed price in homes operated in various parts of Japan.",0,1004
"Adelante",175,4,9,510,83,31,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,550000,452500,1400000,353000,895000,"Adelante offers a classically styled mens' and womens' leather shoes handmade by master craftsmen.",0,1621
"Adgero",202,4,9,452,32,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,140795,1465317,1e+05,1e+05,50000,"Adgero is a Cleantech company that provides electric hybridization solutions for Class 8 trucks.",0,1483
